"Story","Title","Result","Date","Stability","Duration (s)"
"Users CRUD test","This will create a new User","SUCCESS","2022-06-08T10:24:16.752+01:00[Europe/London]","0.0","8.43"
"Users CRUD test","This will Fetch user by ID","FAILURE","2022-06-08T10:24:25.233+01:00[Europe/London]","0.0","0.89"
"Users CRUD test","This will Fetch user by ID","SUCCESS","2022-06-08T10:24:26.144+01:00[Europe/London]","0.0","0.74"
"Users CRUD test","This will Delete user by ID","SUCCESS","2022-06-08T10:24:26.885+01:00[Europe/London]","0.0","1.41"
"Users CRUD test","1. This will Verify if Total record is 20","SUCCESS","2022-06-08T10:24:28.301+01:00[Europe/London]","0.0","0.73"
"Users CRUD test","2.id 3838 has name =Chaturbhuj Nehru DVM","ERROR","2022-06-08T10:24:29.036+01:00[Europe/London]","0.0","0.75"
"Users CRUD test","3. id 3838 has email =dvm_chaturbhuj_nehru@pagac.name","ERROR","2022-06-08T10:24:29.788+01:00[Europe/London]","0.0","0.79"
"Users CRUD test","4.All ID has status =active","SUCCESS","2022-06-08T10:24:30.580+01:00[Europe/London]","0.0","0.74"
"Users CRUD test","5.id 3829 has gender =female","ERROR","2022-06-08T10:24:31.323+01:00[Europe/London]","0.0","0.74"
"Users CRUD test","6.id 3819 has gender =male","ERROR","2022-06-08T10:24:32.065+01:00[Europe/London]","0.0","0.73"
